instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2026-06-04T05:00:00.000000000Z,1.16098,1.16106,1.16052,1.16098,2611
EUR_USD,H1,2026-06-04T06:00:00.000000000Z,1.16098,1.1615,1.16072,1.16108,4362
EUR_USD,H1,2026-06-04T07:00:00.000000000Z,1.16106,1.16128,1.15986,1.1604,5143
EUR_USD,H1,2026-06-04T08:00:00.000000000Z,1.1604,1.16142,1.16037,1.16133,5632
EUR_USD,H1,2026-06-04T09:00:00.000000000Z,1.16132,1.16284,1.16132,1.16258,5828
EUR_USD,H1,2026-06-04T10:00:00.000000000Z,1.16258,1.16342,1.16253,1.16305,4677
EUR_USD,H1,2026-06-04T11:00:00.000000000Z,1.16306,1.16455,1.16304,1.16418,7081
EUR_USD,H1,2026-06-04T12:00:00.000000000Z,1.16418,1.16452,1.16345,1.1637,7378
EUR_USD,H1,2026-06-04T13:00:00.000000000Z,1.1637,1.164,1.1634,1.16361,7125
EUR_USD,H1,2026-06-04T14:00:00.000000000Z,1.1636,1.164,1.16292,1.16306,5402
EUR_USD,H1,2026-06-04T15:00:00.000000000Z,1.16305,1.16316,1.16224,1.16284,5649
EUR_USD,H1,2026-06-04T16:00:00.000000000Z,1.16283,1.16298,1.16232,1.16234,3111
EUR_USD,H1,2026-06-04T17:00:00.000000000Z,1.16233,1.1624,1.16195,1.16208,2007
EUR_USD,H1,2026-06-04T18:00:00.000000000Z,1.16208,1.16226,1.16134,1.1615,2083
EUR_USD,H1,2026-06-04T19:00:00.000000000Z,1.1615,1.16162,1.16106,1.16124,2091
EUR_USD,H1,2026-06-04T20:00:00.000000000Z,1.16125,1.16137,1.16082,1.1611,1144
EUR_USD,H1,2026-06-04T21:00:00.000000000Z,1.16154,1.16162,1.16116,1.1614,1252
EUR_USD,H1,2026-06-04T22:00:00.000000000Z,1.16144,1.16145,1.1611,1.16122,794
EUR_USD,H1,2026-06-04T23:00:00.000000000Z,1.16122,1.16138,1.1612,1.16124,813
EUR_USD,H1,2026-06-05T00:00:00.000000000Z,1.16124,1.16142,1.1611,1.16128,2942
EUR_USD,H1,2026-06-05T01:00:00.000000000Z,1.16128,1.1615,1.161,1.16137,4481
EUR_USD,H1,2026-06-05T02:00:00.000000000Z,1.1614,1.16166,1.16125,1.1614,2425
EUR_USD,H1,2026-06-05T03:00:00.000000000Z,1.16141,1.16156,1.16136,1.16148,1968
EUR_USD,H1,2026-06-05T04:00:00.000000000Z,1.1615,1.1617,1.16138,1.16162,1816
EUR_USD,H1,2026-06-05T05:00:00.000000000Z,1.16162,1.16194,1.1615,1.16156,2008
EUR_USD,H1,2026-06-05T06:00:00.000000000Z,1.16155,1.16229,1.1613,1.16224,3817
EUR_USD,H1,2026-06-05T07:00:00.000000000Z,1.16222,1.16372,1.16216,1.1632,4531
EUR_USD,H1,2026-06-05T08:00:00.000000000Z,1.1632,1.164,1.1632,1.16368,4648
EUR_USD,H1,2026-06-05T09:00:00.000000000Z,1.16366,1.16445,1.16346,1.16387,4878
EUR_USD,H1,2026-06-05T10:00:00.000000000Z,1.16386,1.16443,1.16385,1.16404,3077
EUR_USD,H1,2026-06-05T11:00:00.000000000Z,1.16403,1.1642,1.16345,1.16416,3830
EUR_USD,H1,2026-06-05T12:00:00.000000000Z,1.16416,1.16428,1.15863,1.15866,14885
EUR_USD,H1,2026-06-05T13:00:00.000000000Z,1.15868,1.15998,1.15718,1.1572,18474
EUR_USD,H1,2026-06-05T14:00:00.000000000Z,1.1572,1.15806,1.15496,1.1559,14441
EUR_USD,H1,2026-06-05T15:00:00.000000000Z,1.1559,1.15601,1.15316,1.15325,10186
EUR_USD,H1,2026-06-05T16:00:00.000000000Z,1.15326,1.15331,1.15226,1.15322,8395
EUR_USD,H1,2026-06-05T17:00:00.000000000Z,1.15324,1.15332,1.15192,1.15243,6459
EUR_USD,H1,2026-06-05T18:00:00.000000000Z,1.15244,1.15291,1.15195,1.1523,6884
EUR_USD,H1,2026-06-05T19:00:00.000000000Z,1.1523,1.15274,1.15184,1.15253,5022
EUR_USD,H1,2026-06-05T20:00:00.000000000Z,1.15254,1.15263,1.1518,1.15226,3374
EUR_USD,H1,2026-06-07T21:00:00.000000000Z,1.15115,1.15157,1.15096,1.15115,581
EUR_USD,H1,2026-06-07T22:00:00.000000000Z,1.15104,1.15188,1.15088,1.15134,3915
EUR_USD,H1,2026-06-07T23:00:00.000000000Z,1.15132,1.15228,1.15132,1.1522,2668
EUR_USD,H1,2026-06-08T00:00:00.000000000Z,1.15219,1.15337,1.1521,1.15335,3942
EUR_USD,H1,2026-06-08T01:00:00.000000000Z,1.15336,1.15348,1.15118,1.15265,10916
EUR_USD,H1,2026-06-08T02:00:00.000000000Z,1.15266,1.15316,1.15206,1.15286,5329
EUR_USD,H1,2026-06-08T03:00:00.000000000Z,1.15286,1.15325,1.15261,1.15324,2947
EUR_USD,H1,2026-06-08T04:00:00.000000000Z,1.15324,1.1534,1.15301,1.15314,2681
EUR_USD,H1,2026-06-08T05:00:00.000000000Z,1.15316,1.15398,1.15178,1.15192,5305
EUR_USD,H1,2026-06-08T06:00:00.000000000Z,1.15192,1.15249,1.15135,1.15153,7393
EUR_USD,H1,2026-06-08T07:00:00.000000000Z,1.15152,1.15269,1.15144,1.15166,7947
EUR_USD,H1,2026-06-08T08:00:00.000000000Z,1.15165,1.15235,1.15079,1.15084,8162
